code,name,status,codeforiati:category-code,codeforiati:group-code,codeforiati:group-name,codeforiati:category-name
15210,Gestión y reforma del sistema de seguridad,active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15220,Capacidad civil de prevención y resolución de conflictos y de consolidación de la paz,active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15230,Participación en operaciones internacionales de mantenimiento de la paz,active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15240,Reintegración y control de armas pequeñas y armas ligeras (APAL),active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15250,Remoción de minas terrestres y restos explosivos de guerra,active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
15261,Niños soldados (prevención y desmovilización),active,152,150,Gobierno y sociedad civil,"Prevención y resolución de conflictos, paz y seguridad"
16010,Protección social,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16020,Creación de empleo,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16030,Gestión administrativa y políticas de la vivienda,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16040,Viviendas de bajo costo,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16050,Ayuda multisectorial para servicios sociales básicos,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16061,Cultura y actividades recreativas,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16062,Creación de capacidades estadísticas,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16063,Lucha contra los estupefacientes,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16064,Mitigación social del VIH/sida,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16070,Derechos laborales,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
16080,Diálogo social,active,160,160,Otros servicios e infraestructuras sociales,Otros servicios e infraestructuras sociales
21010,Gestión administrativa y políticas del transporte,active,210,210,Transporte y almacenamiento,Transporte y almacenamiento
21020,Transporte por carretera,active,210,210,Transporte y almacenamiento,Transporte y almacenamiento
21030,Transporte por ferrocarril,active,210,210,Transporte y almacenamiento,Transporte y almacenamiento
21040,Transporte por agua,active,210,210,Transporte y almacenamiento,Transporte y almacenamiento
21050,Transporte aéreo,active,210,210,Transporte y almacenamiento,Transporte y almacenamiento
21061,Almacenamiento,active,210,210,Transporte y almacenamiento,Transporte y almacenamiento
21081,Educación y capacitación en transporte y almacenamiento,active,210,210,Transporte y almacenamiento,Transporte y almacenamiento
22010,Gestión administrativa y políticas de las comunicaciones,active,220,220,Comunicaciones,Comunicaciones
22020,Telecomunicaciones,active,220,220,Comunicaciones,Comunicaciones
22030,"Medios de radio, televisión y prensa escrita",active,220,220,Comunicaciones,Comunicaciones
22040,Tecnología de la información y las comunicaciones (TIC),active,220,220,Comunicaciones,Comunicaciones
23110,Gestión administrativa y políticas de la energía,active,231,230,Energía,Política energética
