code,name,status,codeforiati:organisation-type-code,codeforiati:hq-country-or-region,codeforiati:organisation-type,codeforiati:registry-identifier
GB-CHC-281681,"Amigos de la Tierra Inglaterra, Gales e Irlanda del Norte",active,22,United Kingdom,National NGO,foe_ewni
GB-CHC-272465,United Purpose,active,21,United Kingdom,International NGO,cu
GB-CHC-1125948,PONT,active,21,United Kingdom,International NGO,pont
GB-CHC-1138287,Rainforest Foundation Reino Unido,active,21,United Kingdom,International NGO,rfuk
41120,ONU-Hábitat,active,40,(No country assigned),Multilateral,unhabitat
GB-COH-04154075,Penal Reform International,active,21,United Kingdom,International NGO,pri
GB-CHC-288701,WaterAid,active,21,United Kingdom,International NGO,wateraid
GB-CHC-291167,Jeevika Trust,active,21,United Kingdom,International NGO,jeevika_trust
GB-CHC-313757,Voluntary Service Overseas,active,21,United Kingdom,International NGO,vso
GB-COH-1364201,Plan International UK,active,21,United Kingdom,International NGO,plan_uk
XM-DAC-21032,,active,21,United States,International NGO,psi
21032,Population Service International,withdrawn,21,United States,International NGO,psi
GB-COH-213890,Save the Children Reino Unido,active,21,United Kingdom,International NGO,scuk
NL-KVK-41198677,Hivos,active,21,Netherlands,International NGO,stichting_hivos
ZA-NPO-061-870,Southern African Catholic Bishops' Conference AIDS Office,active,23,South Africa,Regional NGO,sacbc
CH-FDJP-CHE-110347351,Alianza Mundial para Mejorar la Nutrición,active,21,Switzerland,International NGO,gain
30001,Alianza Mundial para Mejorar la Nutrición,withdrawn,21,Switzerland,International NGO,
GB-CHC-1127206,StreetInvest,active,21,United Kingdom,International NGO,si
GB-CHC-1055436,Conciliation Resources,active,21,United Kingdom,International NGO,cr
GB-CHC-1115482,BRAC UK,active,21,United Kingdom,International NGO,bracuk
ZA-NPO-036-515,,active,23,South Africa,Regional NGO,gl
ZA-CIP-2001-005850-08,,withdrawn,23,South Africa,Regional NGO,gl
ZA-CIPC-2001/005850/08,Gender Links,withdrawn,23,South Africa,Regional NGO,gl
GB-CHC-218186,Leonard Cheshire Disability,active,21,United Kingdom,International NGO,lcd_admin
GB-COH-3008440,Forests Monitor,active,21,United Kingdom,International NGO,fm
GB-COH-2100867,SOS Sahel International UK,active,21,United Kingdom,International NGO,sossaheluk
GB-CHC-1065705,Survivors Fund (SURF),active,21,United Kingdom,International NGO,surf
GB-CHC-1122924,Developments In Literacy Trust UK,active,21,United Kingdom,International NGO,diltuk
GB-CHC-292506,CARE International UK,active,21,United Kingdom,International NGO,ciuk
GB-CHC-328158,Islamic Relief Worldwide,active,21,United Kingdom,International NGO,irw
GB-CHC-229476,Federación Internacional de Planificación de la Familia,active,21,United Kingdom,International NGO,ippf
GB-CHC-326568,Charity Projects Ltd (Comic Relief),active,60,United Kingdom,Foundation,cprojects
XM-DAC-41111,Fondo de las Naciones Unidas para el Desarrollo de la Capitalización,active,40,United States,Multilateral,uncdf
NL-CCI-20081098,BRAC International,withdrawn,21,Netherlands,International NGO,bracintl
GB-CHC-1098106,Relief International UK,active,21,United Kingdom,International NGO,ri-uk
GB-CHC-1071886,TB Alert,active,21,United Kingdom,International NGO,tbalert
XM-DAC-41146,ONU Mujeres,active,40,(No country assigned),Multilateral,unw
TZ-BRE-63966,Twaweza,active,23,"Tanzania, United Republic of",Regional NGO,twaweza
GB-CHC-1104287,MicroLoan Foundation,active,21,United Kingdom,International NGO,mlf
GB-CHC-1152010,Child to Child,active,21,United Kingdom,International NGO,ctc
GB-CHC-1105851,Christian Aid,active,21,United Kingdom,International NGO,caid
GB-CHC-1139083,Grow Movement,active,80,United Kingdom,"Academic, Training and Research",growmovement_admin
GB-CHC-1079358,Motivation,active,21,United Kingdom,International NGO,motivation
US-EIN-27-5026293,Disability Rights Fund,active,21,United States,International NGO,drf
US-USAGOV,Estados Unidos,withdrawn,10,United States,Government,unitedstates
GB-CHC-1081247,"WWF, Reino Unido",active,21,United Kingdom,International NGO,wwf-uk
GB-COH-1102208,MSI Reproductive Choices,active,21,United Kingdom,International NGO,msi
GB-CHC-207544,Sightsavers,active,21,United Kingdom,International NGO,ss-org
GB-COH-03788027,Triple Line,active,70,United Kingdom,Private Sector,tripleline_crownagents
GB-CHC-1058991,Railway Children,active,21,United Kingdom,International NGO,rc
GB-CHC-1140123,Vision for a Nation Foundation,active,21,United Kingdom,International NGO,vfan
21-PK-WWF,"Fondo Mundial para la Naturaleza, Pakistán",active,21,Pakistan,International NGO,wwfpakistan
NL-KVK-27264198,ActionAid International,active,21,Netherlands,International NGO,aai
XI-IATI-IADB,Banco Interamericano de Desarrollo,active,40,(No country assigned),Multilateral,iadb
GB-CHC-327519,Zimbabwe Educational Trust,active,21,United Kingdom,International NGO,zet
GB-COH-871954,Practical Action,active,21,United Kingdom,International NGO,pa
GB-CHC-1127488,Restless Development,active,21,United Kingdom,International NGO,restless
GB-COH-2153193,International Alert,active,21,United Kingdom,International NGO,international-alert
DE-1,Alemania: Ministerio Federal de Cooperación y Desarrollo Económicos,active,10,Germany,Government,bmz
GB-CHC-1099776,Malaria Consortium,active,21,United Kingdom,International NGO,malariaconsortium
GB-CHC-1078768,People In Aid,active,21,United Kingdom,International NGO,peopleinaid
47135,Fondos de Inversión en el Clima,active,40,"Bilateral, unspecified",Multilateral,cif
IN-,"MAMTA, Instituto de Salud Maternoinfantil",active,22,India,National NGO,mamta_himc
ciks,Centre for Indian Knowledge Systems,active,80,India,"Academic, Training and Research",ciks
GB-CHC-1070684,Cord,active,23,United Kingdom,Regional NGO,cord
GB-GOV-6,Reino Unido: Ministerio del Interior,active,10,United Kingdom,Government,homeoffice
US-EIN-13-2702768,Pact,active,21,United States,International NGO,pact
GB-CHC-1071659,War Child UK,active,21,United Kingdom,International NGO,wcuk
