code,name,status,codeforiati:category-name,codeforiati:category-code,codeforiati:group-code,codeforiati:group-name
15210,Gestión y reforma del sistema de seguridad,active,"Prevención y resolución de conflictos, paz y seguridad",152,150,Gobierno y sociedad civil
15220,Capacidad civil de prevención y resolución de conflictos y de consolidación de la paz,active,"Prevención y resolución de conflictos, paz y seguridad",152,150,Gobierno y sociedad civil
15230,Participación en operaciones internacionales de mantenimiento de la paz,active,"Prevención y resolución de conflictos, paz y seguridad",152,150,Gobierno y sociedad civil
15240,Reintegración y control de armas pequeñas y armas ligeras (APAL),active,"Prevención y resolución de conflictos, paz y seguridad",152,150,Gobierno y sociedad civil
15250,Remoción de minas terrestres y restos explosivos de guerra,active,"Prevención y resolución de conflictos, paz y seguridad",152,150,Gobierno y sociedad civil
15261,Niños soldados (prevención y desmovilización),active,"Prevención y resolución de conflictos, paz y seguridad",152,150,Gobierno y sociedad civil
16010,Protección social,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16020,Creación de empleo,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16030,Gestión administrativa y políticas de la vivienda,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16040,Viviendas de bajo costo,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16050,Ayuda multisectorial para servicios sociales básicos,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16061,Cultura y actividades recreativas,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16062,Creación de capacidades estadísticas,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16063,Lucha contra los estupefacientes,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16064,Mitigación social del VIH/sida,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16070,Derechos laborales,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
16080,Diálogo social,active,Otros servicios e infraestructuras sociales,160,160,Otros servicios e infraestructuras sociales
21010,Gestión administrativa y políticas del transporte,active,Transporte y almacenamiento,210,210,Transporte y almacenamiento
21020,Transporte por carretera,active,Transporte y almacenamiento,210,210,Transporte y almacenamiento
21030,Transporte por ferrocarril,active,Transporte y almacenamiento,210,210,Transporte y almacenamiento
21040,Transporte por agua,active,Transporte y almacenamiento,210,210,Transporte y almacenamiento
21050,Transporte aéreo,active,Transporte y almacenamiento,210,210,Transporte y almacenamiento
21061,Almacenamiento,active,Transporte y almacenamiento,210,210,Transporte y almacenamiento
